Year,District,Crime,Cases
2021,Nanded,Attempts to Commit Suicide,7.0
2021,Nandurbar,Attempts to Commit Suicide,1.0
2021,Nashik,Attempts to Commit Suicide,12.0
2021,Dharashiv,Attempts to Commit Suicide,4.0
2021,Palghar,Attempts to Commit Suicide,
2021,Parbhani,Attempts to Commit Suicide,13.0
2021,Pune,Attempts to Commit Suicide,17.0
2021,Raigad,Attempts to Commit Suicide,4.0
2021,Ratnagiri,Attempts to Commit Suicide,
2021,Sangli,Attempts to Commit Suicide,6.0
2021,Satara,Attempts to Commit Suicide,23.0
2021,Sindhudurg,Attempts to Commit Suicide,2.0
2021,Solapur,Attempts to Commit Suicide,26.0
2021,Thane,Attempts to Commit Suicide,10.0
2021,Wardha,Attempts to Commit Suicide,1.0
2021,Washim,Attempts to Commit Suicide,1.0
2021,Yavatmal,Attempts to Commit Suicide,6.0
